country,code,electricity_consumption,country_flag,series_id
New Caledonia,NC,2.741,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NC-flag.gif,INTL.2-2-NCL-BKWH.A
Mauritius,MP,2.8,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MP-flag.gif,INTL.2-2-MUS-BKWH.A
Bhutan,BT,2.386,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BT-flag.gif,INTL.2-2-BTN-BKWH.A
Malta,MT,2.456,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MT-flag.gif,INTL.2-2-MLT-BKWH.A
Gabon,GB,2.23,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GB-flag.gif,INTL.2-2-GAB-BKWH.A
Suriname,NS,1.663,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NS-flag.gif,INTL.2-2-SUR-BKWH.A
The Bahamas,BF,1.77,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BF-flag.gif,INTL.2-2-BHS-BKWH.A
Guam,GQ,1.639,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GQ-flag.gif,INTL.2-2-GUM-BKWH.A
Madagascar,MA,2.117,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MA-flag.gif,INTL.2-2-MDG-BKWH.A
Burkina Faso,UV,1.76,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UV-flag.gif,INTL.2-2-BFA-BKWH.A
Eswatini,WZ,1.682,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/WZ-flag.gif,INTL.2-2-SWZ-BKWH.A
Malawi,MI,1.515,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MI-flag.gif,INTL.2-2-MWI-BKWH.A
Togo,TO,1.251,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TO-flag.gif,INTL.2-2-TGO-BKWH.A
Benin,BN,1.188,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BN-flag.gif,INTL.2-2-BEN-BKWH.A
Niger,NG,1.586,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NG-flag.gif,INTL.2-2-NER-BKWH.A
Mauritania,MR,0.882,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MR-flag.gif,INTL.2-2-MRT-BKWH.A
Barbados,BB,0.99,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BB-flag.gif,INTL.2-2-BRB-BKWH.A
Curacao,UC,0.9,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UC-flag.gif,""
Republic of the Congo,CF,2.018,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CF-flag.gif,INTL.2-2-COG-BKWH.A
Aruba,AA,0.899,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AA-flag.gif,INTL.2-2-ABW-BKWH.A
Fiji,FJ,0.997,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/FJ-flag.gif,INTL.2-2-FJI-BKWH.A
Lesotho,LT,0.902,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LT-flag.gif,INTL.2-2-LSO-BKWH.A
Guyana,GY,0.851,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GY-flag.gif,INTL.2-2-GUY-BKWH.A
Virgin Islands,VQ,0.553,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/VQ-flag.gif,INTL.2-2-VIR-BKWH.A
Jersey,JE,0.6,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/JE-flag.gif,""
French Polynesia,FP,0.544,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/FP-flag.gif,INTL.2-2-PYF-BKWH.A
Cayman Islands,CJ,0.629,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CJ-flag.gif,INTL.2-2-CYM-BKWH.A
Bermuda,BD,0.56,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BD-flag.gif,INTL.2-2-BMU-BKWH.A
Marshall Islands,RM,0.5624,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/RM-flag.gif,""
Guinea,GV,1.983,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GV-flag.gif,INTL.2-2-GIN-BKWH.A
Rwanda,RW,0.764,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/RW-flag.gif,INTL.2-2-RWA-BKWH.A
Greenland,GL,0.496,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GL-flag.gif,INTL.2-2-GRL-BKWH.A
Equatorial Guinea,EK,1.321,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/EK-flag.gif,INTL.2-2-GNQ-BKWH.A
Belize,BH,0.568,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BH-flag.gif,INTL.2-2-BLZ-BKWH.A
Haiti,HA,0.359,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/HA-flag.gif,INTL.2-2-HTI-BKWH.A
Liechtenstein,LS,0.394,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LS-flag.gif,""
South Sudan,OD,0.529,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/OD-flag.gif,INTL.2-2-SSD-BKWH.A
Burundi,BY,0.339,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BY-flag.gif,INTL.2-2-BDI-BKWH.A
Djibouti,DJ,0.381,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/DJ-flag.gif,INTL.2-2-DJI-BKWH.A
Maldives,MV,0.565,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MV-flag.gif,INTL.2-2-MDV-BKWH.A
Cabo Verde,CV,0.455,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CV-flag.gif,INTL.2-2-CPV-BKWH.A
Eritrea,ER,0.408,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ER-flag.gif,INTL.2-2-ERI-BKWH.A
